,START_DATE,START_TIME,START,STOP,END_DATE,END_TIME,RIDE_DURATION,MILES,FARE,DAY_NIGHT,PURPOSE,ROUND_TRIP,CATEGORY
169,02-05-2016,09:25:00,Palm Bay,Miami,02-05-2016,09:33:00,8,2.5,27.5,MORNING,Meeting,No,Business
170,02-02-2016,07:30:00,Orlando,Orlando,02-02-2016,07:56:00,26,9.3,102.3,MORNING,Meal/Entertain,Yes,Business
171,16-05-2016,17:46:00,Fort Pierce,Fort Pierce,16-05-2016,18:00:00,14,8.9,97.9,EVENING,Customer Visit,Yes,Business
172,01-02-2016,13:35:00,Tampa,Orlando,01-02-2016,15:19:00,104,81.1,892.1,AFTER-NOON,Meal/Entertain,No,Business
173,08-03-2016,07:11:00,Fort Pierce,Palm Bay,08-03-2016,08:31:00,80,62.8,690.8,MORNING,Meeting,No,Business
174,05-06-2016,18:56:00,Palm Bay,Kissimmee,05-06-2016,19:24:00,28,11.4,125.4,EVENING,Customer Visit,No,Business
175,08-05-2016,10:21:00,West Palm Beach,Kissimmee,08-05-2016,11:38:00,77,49.6,545.6,AFTER-NOON,Meeting,No,Personal
176,24-06-2016,12:09:00,Kissimmee,West Palm Beach,24-06-2016,12:44:00,35,12.9,141.9,AFTER-NOON,Customer Visit,No,Personal
177,06-03-2016,09:52:00,Kissimmee,Palm Bay,06-03-2016,11:36:00,104,57.9,636.9,MORNING,Customer Visit,No,Business
178,11-02-2016,20:34:00,Kissimmee,Orlando,11-02-2016,21:33:00,59,29.3,322.3,NIGHT,Meeting,No,Personal
179,29-04-2016,06:26:00,Tampa,Fort Pierce,29-04-2016,07:52:00,86,30.8,338.8,MORNING,Errand/Supplies,No,Business
180,12-01-2016,12:32:00,Miami,West Palm Beach,12-01-2016,14:03:00,91,50.6,556.6,AFTER-NOON,Meeting,No,Business
181,19-05-2016,12:20:00,Palm Bay,West Palm Beach,19-05-2016,12:54:00,34,26.9,295.9,AFTER-NOON,Airport/Travel,No,Personal
182,30-03-2016,08:47:00,Palm Bay,Fort Pierce,30-03-2016,10:03:00,76,28.4,312.4,MORNING,Customer Visit,No,Business
183,16-03-2016,15:16:00,Kissimmee,Tampa,16-03-2016,16:20:00,64,29.3,322.3,EVENING,Meal/Entertain,No,Business
184,28-03-2016,19:22:00,Tampa,Kissimmee,28-03-2016,19:32:00,10,8,88,NIGHT,Airport/Travel,No,Business
185,29-06-2016,17:42:00,Tampa,Kissimmee,29-06-2016,18:54:00,72,54.4,598.4,EVENING,Customer Visit,No,Business
186,04-04-2016,12:33:00,Tampa,Kissimmee,04-04-2016,13:56:00,83,49.6,545.6,AFTER-NOON,Customer Visit,No,Business
187,22-03-2016,07:15:00,Palm Bay,Tampa,22-03-2016,07:30:00,15,11.9,130.9,MORNING,Meeting,No,Business
188,04-06-2016,16:36:00,Kissimmee,Kissimmee,04-06-2016,17:18:00,42,19,209,EVENING,Meal/Entertain,Yes,Business
189,29-01-2016,07:08:00,West Palm Beach,Kissimmee,29-01-2016,08:31:00,83,48.4,532.4,MORNING,Meeting,No,Business
190,01-01-2016,08:39:00,Palm Bay,Kissimmee,01-01-2016,10:28:00,109,83.6,919.6,MORNING,Meeting,No,Business
191,04-06-2016,11:52:00,Tampa,West Palm Beach,04-06-2016,11:57:00,5,2.5,27.5,AFTER-NOON,Meal/Entertain,No,Business
192,12-03-2016,11:15:00,Tampa,Palm Bay,12-03-2016,12:10:00,55,32.6,358.6,AFTER-NOON,Customer Visit,No,Business
193,23-06-2016,20:22:00,Kissimmee,Tampa,23-06-2016,20:46:00,24,12.9,141.9,NIGHT,Meeting,No,Business
194,17-05-2016,06:14:00,West Palm Beach,Orlando,17-05-2016,08:05:00,111,87.2,959.2,MORNING,Meeting,No,Business
195,20-03-2016,20:47:00,West Palm Beach,Miami,20-03-2016,21:22:00,35,22.9,251.9,NIGHT,Customer Visit,No,Business
196,21-03-2016,17:19:00,Palm Bay,Kissimmee,21-03-2016,17:53:00,34,20.5,225.5,EVENING,Customer Visit,No,Business
197,09-02-2016,06:20:00,Tampa,Miami,09-02-2016,07:45:00,85,47.6,523.6,MORNING,Errand/Supplies,No,Business
198,27-03-2016,13:38:00,Kissimmee,Tampa,27-03-2016,15:31:00,113,62.9,691.9,AFTER-NOON,Errand/Supplies,No,Business
199,17-03-2016,10:14:00,Miami,Tampa,17-03-2016,11:46:00,92,64.7,711.7,AFTER-NOON,Airport/Travel,No,Personal
